date,DMA_Code,channel,spend,impressions,clicks
2020-10-01,500,display_hcp,8431.4133,147433.0,107.0
2020-10-01,500,display_dtc,0.0,0.0,0.0
2020-10-01,500,paidsearch_hcp,5769.0,5518.0,612.0
2020-10-01,500,meetings,1.0,0.0,0.0
2020-10-01,500,teledetails,1.0,0.0,0.0
2020-10-01,500,emails,34.0,0.0,0.0
2020-11-01,500,display_hcp,8903.7246,160129.0,122.0
2020-11-01,500,display_dtc,0.0,0.0,0.0
2020-11-01,500,paidsearch_hcp,30867.0,85709.0,6714.0
2020-11-01,500,meetings,0.0,0.0,0.0
2020-11-01,500,teledetails,1.0,0.0,0.0
2020-11-01,500,emails,16.0,0.0,0.0
2020-12-01,500,display_hcp,7042.7543,116104.0,93.0
2020-12-01,500,display_dtc,0.0,0.0,0.0
2020-12-01,500,paidsearch_hcp,29110.0,91597.0,6705.0
2020-12-01,500,meetings,0.0,0.0,0.0
2020-12-01,500,teledetails,0.0,0.0,0.0
2020-12-01,500,emails,9.0,0.0,0.0
2021-01-01,500,display_hcp,12081.594,174916.0,190.0
2021-01-01,500,display_dtc,0.0,0.0,0.0
2021-01-01,500,paidsearch_hcp,14883.0,52156.0,4173.0
2021-01-01,500,meetings,0.0,0.0,0.0
2021-01-01,500,teledetails,0.0,0.0,0.0
2021-01-01,500,emails,4.0,0.0,0.0
2021-02-01,500,display_hcp,13039.6145,247078.0,307.0
2021-02-01,500,display_dtc,0.0,0.0,0.0
2021-02-01,500,paidsearch_hcp,15231.0,56980.0,4404.0
2021-02-01,500,meetings,0.0,0.0,0.0
2021-02-01,500,teledetails,0.0,0.0,0.0
2021-02-01,500,emails,6.0,0.0,0.0
2021-03-01,500,display_hcp,11892.4674,222840.0,135.0
2021-03-01,500,display_dtc,0.0,0.0,0.0
2021-03-01,500,paidsearch_hcp,16116.0,48341.0,4122.0
2021-03-01,500,meetings,0.0,0.0,0.0
2021-03-01,500,teledetails,0.0,0.0,0.0
2021-03-01,500,emails,3.0,0.0,0.0
2021-04-01,500,display_hcp,4019.7316987100003,57878.999823,109.71862098
2021-04-01,500,display_dtc,0.0,0.0,0.0
2021-04-01,500,paidsearch_hcp,7899.0,16378.0,1944.0
2021-04-01,500,meetings,0.0,0.0,0.0
2021-04-01,500,teledetails,0.0,0.0,0.0
2021-04-01,500,emails,3.0,0.0,0.0
2021-05-01,500,display_hcp,6452.28629423,127097.999536,265.51088066
2021-05-01,500,display_dtc,0.0,0.0,0.0
2021-05-01,500,paidsearch_hcp,8677.34,13750.0,1768.0
2021-05-01,500,meetings,0.0,0.0,0.0
2021-05-01,500,teledetails,0.0,0.0,0.0
2021-05-01,500,emails,3.0,0.0,0.0
2021-06-01,500,display_hcp,6568.850144309999,176399.99937600002,382.30441827
2021-06-01,500,display_dtc,0.0,0.0,0.0
2021-06-01,500,paidsearch_hcp,12089.76,18571.0,2188.0
2021-06-01,500,meetings,0.0,0.0,0.0
2021-06-01,500,teledetails,0.0,0.0,0.0
2021-06-01,500,emails,0.0,0.0,0.0
2021-07-01,500,display_hcp,10441.3744,176194.0,210.0
2021-07-01,500,display_dtc,125382.0132469,7951785.0,7810.0
2021-07-01,500,paidsearch_hcp,15451.18,40491.0,3144.0
2021-07-01,500,meetings,0.0,0.0,0.0
2021-07-01,500,teledetails,0.0,0.0,0.0
2021-07-01,500,emails,2.0,0.0,0.0
2021-08-01,500,display_hcp,9237.047999999999,214074.0,140.0
2021-08-01,500,display_dtc,158972.827434,12665237.0,8496.0
2021-08-01,500,paidsearch_hcp,16636.47,46003.0,3570.0
2021-08-01,500,meetings,0.0,0.0,0.0
2021-08-01,500,teledetails,0.0,0.0,0.0
2021-08-01,500,emails,0.0,0.0,0.0
2021-09-01,500,display_hcp,9742.1034,234474.0,90.0
2021-09-01,500,display_dtc,150915.9361666,11209999.0,8534.0
2021-09-01,500,paidsearch_hcp,16526.59,48249.0,3648.0
2021-09-01,500,meetings,0.0,0.0,0.0
2021-09-01,500,teledetails,0.0,0.0,0.0
2021-09-01,500,emails,20.0,0.0,0.0
2020-10-01,501,display_hcp,5087.45,92284.0,46.0
2020-10-01,501,display_dtc,0.0,0.0,0.0
2020-10-01,501,paidsearch_hcp,2409.0,2176.0,248.0
2020-10-01,501,meetings,0.0,0.0,0.0
2020-10-01,501,teledetails,0.0,0.0,0.0
2020-10-01,501,emails,41.0,0.0,0.0
2020-11-01,501,display_hcp,4997.0499,97070.0,78.0
2020-11-01,501,display_dtc,0.0,0.0,0.0
2020-11-01,501,paidsearch_hcp,14435.0,40516.0,3280.0
2020-11-01,501,meetings,0.0,0.0,0.0
2020-11-01,501,teledetails,1.0,0.0,0.0
2020-11-01,501,emails,19.0,0.0,0.0
2020-12-01,501,display_hcp,6321.6962,111725.0,73.0
2020-12-01,501,display_dtc,0.0,0.0,0.0
2020-12-01,501,paidsearch_hcp,13634.0,44356.0,3416.0
2020-12-01,501,meetings,0.0,0.0,0.0
2020-12-01,501,teledetails,0.0,0.0,0.0
2020-12-01,501,emails,10.0,0.0,0.0
2021-01-01,501,display_hcp,7520.248500000001,115668.0,115.0
2021-01-01,501,display_dtc,0.0,0.0,0.0
2021-01-01,501,paidsearch_hcp,6927.0,25737.0,2225.0
2021-01-01,501,meetings,0.0,0.0,0.0
2021-01-01,501,teledetails,0.0,0.0,0.0
2021-01-01,501,emails,6.0,0.0,0.0
2021-02-01,501,display_hcp,10135.2109,194574.0,197.0
2021-02-01,501,display_dtc,0.0,0.0,0.0
2021-02-01,501,paidsearch_hcp,8348.0,29280.0,2500.0
2021-02-01,501,meetings,0.0,0.0,0.0
2021-02-01,501,teledetails,1.0,0.0,0.0
2021-02-01,501,emails,9.0,0.0,0.0
2021-03-01,501,display_hcp,8010.9322999999995,152100.0,96.0
2021-03-01,501,display_dtc,0.0,0.0,0.0
2021-03-01,501,paidsearch_hcp,7299.0,23650.0,2071.0
2021-03-01,501,meetings,0.0,0.0,0.0
2021-03-01,501,teledetails,0.0,0.0,0.0
2021-03-01,501,emails,2.0,0.0,0.0
2021-04-01,501,display_hcp,2319.11213649,34838.99983103,65.34758661000001
2021-04-01,501,display_dtc,0.0,0.0,0.0
2021-04-01,501,paidsearch_hcp,3850.0,7803.0,1044.0
2021-04-01,501,meetings,0.0,0.0,0.0
2021-04-01,501,teledetails,0.0,0.0,0.0
2021-04-01,501,emails,6.0,0.0,0.0
2021-05-01,501,display_hcp,4090.91657979,81783.9995665,170.08043423
2021-05-01,501,display_dtc,0.0,0.0,0.0
2021-05-01,501,paidsearch_hcp,4107.43,6654.0,887.0
2021-05-01,501,meetings,0.0,0.0,0.0
2021-05-01,501,teledetails,0.0,0.0,0.0
2021-05-01,501,emails,1.0,0.0,0.0
2021-06-01,501,display_hcp,4091.17494812,113802.9994071,247.23056334
2021-06-01,501,display_dtc,0.0,0.0,0.0
2021-06-01,501,paidsearch_hcp,5173.54,8836.0,997.0
2021-06-01,501,meetings,0.0,0.0,0.0
2021-06-01,501,teledetails,0.0,0.0,0.0
2021-06-01,501,emails,1.0,0.0,0.0
2021-07-01,501,display_hcp,7002.3313,119339.0,103.0
2021-07-01,501,display_dtc,76040.91458889999,3421463.0,3278.0
2021-07-01,501,paidsearch_hcp,7960.83,21382.0,1681.0
2021-07-01,501,meetings,0.0,0.0,0.0
2021-07-01,501,teledetails,0.0,0.0,0.0
2021-07-01,501,emails,3.0,0.0,0.0
2021-08-01,501,display_hcp,6262.4421999999995,138801.0,91.0
2021-08-01,501,display_dtc,89524.8103534,5930237.0,4207.0
2021-08-01,501,paidsearch_hcp,7820.13,22513.0,1736.0
2021-08-01,501,meetings,0.0,0.0,0.0
2021-08-01,501,teledetails,0.0,0.0,0.0
2021-08-01,501,emails,4.0,0.0,0.0
2021-09-01,501,display_hcp,5598.155699999999,141241.0,50.0
2021-09-01,501,display_dtc,89479.78639190001,5760168.0,4757.0
2021-09-01,501,paidsearch_hcp,7956.73,22289.0,1826.0
2021-09-01,501,meetings,0.0,0.0,0.0
2021-09-01,501,teledetails,0.0,0.0,0.0
2021-09-01,501,emails,19.0,0.0,0.0
2020-10-01,502,display_hcp,10572.5136,182717.0,123.0
2020-10-01,502,display_dtc,0.0,0.0,0.0
2020-10-01,502,paidsearch_hcp,6772.0,6762.0,742.0
2020-10-01,502,meetings,0.0,0.0,0.0
2020-10-01,502,teledetails,2.0,0.0,0.0
2020-10-01,502,emails,34.0,0.0,0.0
2020-11-01,502,display_hcp,11032.6828,192938.0,161.0
2020-11-01,502,display_dtc,0.0,0.0,0.0
2020-11-01,502,paidsearch_hcp,39181.0,105170.0,8418.0
2020-11-01,502,meetings,0.0,0.0,0.0
2020-11-01,502,teledetails,0.0,0.0,0.0
2020-11-01,502,emails,20.0,0.0,0.0
2020-12-01,502,display_hcp,9756.5514,157892.0,138.0
2020-12-01,502,display_dtc,0.0,0.0,0.0
2020-12-01,502,paidsearch_hcp,36435.0,113023.0,8353.0
2020-12-01,502,meetings,0.0,0.0,0.0
2020-12-01,502,teledetails,1.0,0.0,0.0
2020-12-01,502,emails,11.0,0.0,0.0
2021-01-01,502,display_hcp,15694.9563,224201.0,210.0
2021-01-01,502,display_dtc,0.0,0.0,0.0
2021-01-01,502,paidsearch_hcp,18402.0,63060.0,5136.0
2021-01-01,502,meetings,0.0,0.0,0.0
2021-01-01,502,teledetails,1.0,0.0,0.0
2021-01-01,502,emails,4.0,0.0,0.0
2021-02-01,502,display_hcp,18241.1367,343765.0,419.0
2021-02-01,502,display_dtc,0.0,0.0,0.0
2021-02-01,502,paidsearch_hcp,20020.0,70539.0,5596.0
2021-02-01,502,meetings,0.0,0.0,0.0
2021-02-01,502,teledetails,1.0,0.0,0.0
2021-02-01,502,emails,1.0,0.0,0.0
2021-03-01,502,display_hcp,16764.513,309195.0,286.0
2021-03-01,502,display_dtc,0.0,0.0,0.0
2021-03-01,502,paidsearch_hcp,20493.0,59507.0,5104.0
2021-03-01,502,meetings,0.0,0.0,0.0
2021-03-01,502,teledetails,1.0,0.0,0.0
2021-03-01,502,emails,1.0,0.0,0.0
2021-04-01,502,display_hcp,5452.8678131100005,72877.9998268,136.70886744
2021-04-01,502,display_dtc,0.0,0.0,0.0
2021-04-01,502,paidsearch_hcp,10107.0,19792.0,2491.0
2021-04-01,502,meetings,0.0,0.0,0.0
2021-04-01,502,teledetails,4.0,0.0,0.0
2021-04-01,502,emails,8.0,0.0,0.0
2021-05-01,502,display_hcp,8187.85943816,154918.9995564,321.43523534
2021-05-01,502,display_dtc,0.0,0.0,0.0
2021-05-01,502,paidsearch_hcp,11033.45,17389.0,2177.0
2021-05-01,502,meetings,0.0,0.0,0.0
2021-05-01,502,teledetails,0.0,0.0,0.0
2021-05-01,502,emails,1.0,0.0,0.0
2021-06-01,502,display_hcp,8340.95412343,216440.9993948,466.98571448999996
2021-06-01,502,display_dtc,0.0,0.0,0.0
2021-06-01,502,paidsearch_hcp,15161.79,23127.0,2745.0
2021-06-01,502,meetings,0.0,0.0,0.0
2021-06-01,502,teledetails,0.0,0.0,0.0
2021-06-01,502,emails,0.0,0.0,0.0
2021-07-01,502,display_hcp,14372.8819,239641.0,255.0
2021-07-01,502,display_dtc,165564.7295732,10501816.0,9955.0
2021-07-01,502,paidsearch_hcp,20871.94,51274.0,4094.0
2021-07-01,502,meetings,0.0,0.0,0.0
2021-07-01,502,teledetails,3.0,0.0,0.0
2021-07-01,502,emails,0.0,0.0,0.0
2021-08-01,502,display_hcp,12733.9782,293548.0,206.0
2021-08-01,502,display_dtc,209869.7100857,16666974.0,10984.0
2021-08-01,502,paidsearch_hcp,21671.96,57424.0,4538.0
2021-08-01,502,meetings,0.0,0.0,0.0
2021-08-01,502,teledetails,2.0,0.0,0.0
2021-08-01,502,emails,1.0,0.0,0.0
2021-09-01,502,display_hcp,13157.1715,316783.0,103.0
2021-09-01,502,display_dtc,203693.5263799,15190417.0,11059.0
2021-09-01,502,paidsearch_hcp,21171.79,60860.0,4627.0
2021-09-01,502,meetings,0.0,0.0,0.0
2021-09-01,502,teledetails,3.0,0.0,0.0
2021-09-01,502,emails,24.0,0.0,0.0
2020-10-01,503,display_hcp,11881.1711,207587.0,194.0
2020-10-01,503,display_dtc,0.0,0.0,0.0
2020-10-01,503,paidsearch_hcp,8457.0,7399.0,907.0
2020-10-01,503,meetings,0.0,0.0,0.0
2020-10-01,503,teledetails,0.0,0.0,0.0
2020-10-01,503,emails,24.0,0.0,0.0
2020-11-01,503,display_hcp,11469.0862,197257.0,134.0
2020-11-01,503,display_dtc,0.0,0.0,0.0
2020-11-01,503,paidsearch_hcp,38799.0,104082.0,8109.0
2020-11-01,503,meetings,0.0,0.0,0.0
2020-11-01,503,teledetails,0.0,0.0,0.0
2020-11-01,503,emails,15.0,0.0,0.0
2020-12-01,503,display_hcp,9354.5407,148171.0,100.0
2020-12-01,503,display_dtc,0.0,0.0,0.0
2020-12-01,503,paidsearch_hcp,37118.0,110804.0,8310.0
2020-12-01,503,meetings,0.0,0.0,0.0
2020-12-01,503,teledetails,0.0,0.0,0.0
2020-12-01,503,emails,9.0,0.0,0.0
2021-01-01,503,display_hcp,16009.7496,227245.0,241.0
2021-01-01,503,display_dtc,0.0,0.0,0.0
2021-01-01,503,paidsearch_hcp,18336.0,63707.0,4895.0
2021-01-01,503,meetings,0.0,0.0,0.0
2021-01-01,503,teledetails,0.0,0.0,0.0
2021-01-01,503,emails,5.0,0.0,0.0
2021-02-01,503,display_hcp,17715.6558,335855.0,428.0
2021-02-01,503,display_dtc,0.0,0.0,0.0
2021-02-01,503,paidsearch_hcp,19535.0,68209.0,5380.0
2021-02-01,503,meetings,0.0,0.0,0.0
2021-02-01,503,teledetails,0.0,0.0,0.0
2021-02-01,503,emails,5.0,0.0,0.0
2021-03-01,503,display_hcp,15930.9776,296218.0,266.0
2021-03-01,503,display_dtc,0.0,0.0,0.0
2021-03-01,503,paidsearch_hcp,21346.0,58429.0,5001.0
2021-03-01,503,meetings,0.0,0.0,0.0
2021-03-01,503,teledetails,0.0,0.0,0.0
2021-03-01,503,emails,0.0,0.0,0.0
2021-04-01,503,display_hcp,5730.25469339,76007.99983742999,145.057521
2021-04-01,503,display_dtc,0.0,0.0,0.0
2021-04-01,503,paidsearch_hcp,11889.0,20407.0,2582.0
2021-04-01,503,meetings,0.0,0.0,0.0
2021-04-01,503,teledetails,0.0,0.0,0.0
2021-04-01,503,emails,2.0,0.0,0.0
2021-05-01,503,display_hcp,8491.00453091,160738.99958099998,334.38936235
2021-05-01,503,display_dtc,0.0,0.0,0.0
2021-05-01,503,paidsearch_hcp,11695.58,17811.0,2272.0
2021-05-01,503,meetings,0.0,0.0,0.0
2021-05-01,503,teledetails,1.0,0.0,0.0
2021-05-01,503,emails,0.0,0.0,0.0
2021-06-01,503,display_hcp,8370.28392465,222631.9993815,484.16136115
2021-06-01,503,display_dtc,0.0,0.0,0.0
2021-06-01,503,paidsearch_hcp,15656.66,23144.0,2618.0
2021-06-01,503,meetings,0.0,0.0,0.0
2021-06-01,503,teledetails,0.0,0.0,0.0
2021-06-01,503,emails,0.0,0.0,0.0
2021-07-01,503,display_hcp,13850.8261,228896.0,257.0
2021-07-01,503,display_dtc,161541.7124343,13219294.0,11095.0
2021-07-01,503,paidsearch_hcp,21883.32,49760.0,4149.0
2021-07-01,503,meetings,0.0,0.0,0.0
2021-07-01,503,teledetails,0.0,0.0,0.0
2021-07-01,503,emails,0.0,0.0,0.0
2021-08-01,503,display_hcp,12124.5594,282700.0,202.0
2021-08-01,503,display_dtc,198431.2582334,20108553.0,11976.0
2021-08-01,503,paidsearch_hcp,20906.02,55252.0,4296.0
2021-08-01,503,meetings,0.0,0.0,0.0
2021-08-01,503,teledetails,1.0,0.0,0.0
2021-08-01,503,emails,0.0,0.0,0.0
2021-09-01,503,display_hcp,13502.3519,318794.0,95.0
2021-09-01,503,display_dtc,194219.5747011,18586477.0,11793.0
2021-09-01,503,paidsearch_hcp,20036.21,57029.0,4275.0
2021-09-01,503,meetings,0.0,0.0,0.0
2021-09-01,503,teledetails,1.0,0.0,0.0
